<DOCUMENT filename="strings.txt">
// UI

Bingo Mod Config|ビンゴMOD設定
Open Bingo HUD keybind:|ビンゴボード
Which button opens/closes the Bingo grid in game|ゲーム中のビンゴボード表示切替ボタン
-  Keyboard|- キーボード
-  Controller 1|- コントローラー1
-  Controller 2|- コントローラー2
-  Controller 3|- コントローラー3
-  Controller 4|- コントローラー4
Use map input instead:|マップ表示で有効
Quick reset keybind:|クイックリセット
Play custom music in bingo menu:|ビンゴメニューで音楽を再生
Play custom music when game ends:|ゲーム終了時に音楽を再生
Play custom music when your team is losing:|負けた時に時に音楽を再生
Singleplayer team color:|シングルプレイカラー

AVAILABLE: 1|利用可能:1
AVAILABLE: 0|利用可能:0
AVAILABLE: |利用可能:
CLOSE|閉じる
CANCEL|キャンセル
MANUAL|マニュアル
Multiplayer|マルチプレイ
Refresh|ﾘﾌﾚｯｼｭ
Profiles|プロフィール
Config|設定
I'M<LINE>READY|準備<LINE>完了
BEGIN|開始
CREATE|作成
STARTBINGO|ビンゴ開始
End Session|ｾｯｼｮﾝ終了
Tally up|集計
JOIN|参加
UNLOAD|アンロード
unloaded|アンロード済み
Bingo - Scheming|ビンゴ - 策略
<LINE>Save the game to Complete|<LINE>ゲームを保存して完了
Cycle complete, saving run data|サイクル完了、実行データを保存
perkList|特典リスト
burdenList|負担リスト
unl-|特典-
bur-|負担-
PLAY<LINE>BINGO|ビンゴ<LINE>で遊ぶ
NEWBINGO|新しい<LINE>ビンゴ
CREDITS|クレジット
Copy board|コピー
Paste board|ペースト
QUITGAEM|ゲーム終了
lobbysettings|ロビー設定
createlobby|ロビー作成
FRIENDS|フレンド
Friends only: |フレンドのみ 
Friends only: Yes|ﾌﾚﾝドのみ:ﾊｲ
Friends only: No|ﾌﾚﾝドのみ:ｲｲｴ
Require host's mods: |ホストのMOD必須 
Perks: |特典:
Burdens: |負担:
Max Players: |最大プレイヤー数 
Game mode: |ゲームモード:
Slugcat: |ｷｬﾗｸﾀｰ:
Host decides|ホストが決定
Allowed|許可
Disabled|無効
HOSTMODS|ホストMOD
Allowed - |許可 
Disabled - |無効 
Host decides - |ホストが決定 
Bingo - |ビンゴ 
Lockout (ties) - |ﾛｯｸｱｳﾄ:ﾋｷﾜｹｱﾘ 
Lockout (no ties) - |ﾛｯｸｱｳﾄ:ﾋｷﾜｹﾅｼ 
Blackout - |ブラｯｸｱｳﾄ 
Perks:|特典
Burdens:|負担
Game mode:|ゲームモード
Leave Lobby|ロビーを退出
CONTINUE<LINE>BINGO|ソロプレイ<LINE>続行
CONTINUE<LINE>MULTIPLAYER|マルチプレイ<LINE>続行
Shelter: |シェルター 
The shelter players start in. Please type in a valid shelter's room name (CASE SENSITIVE), or 'random'|プレイヤーが開始するシェルター。シェルターの部屋名（大文字小文字を区別）を入力するか、「random」を入力してください
Slugcat mismatch!<LINE><LINE>|スラッグキャットが一致しません！<LINE><LINE>
Selected slugcat: White<LINE>|選択されたスラッグキャット:生存者<LINE>
Selected slugcat: Yellow<LINE>|選択されたスラッグキャット:僧侶<LINE>
Selected slugcat: Red<LINE>|選択されたスラッグキャット:ハンター<LINE>
Selected slugcat: Rivulet<LINE>|選択されたスラッグキャット:ストリーム<LINE>
Selected slugcat: Artificer<LINE>|選択されたスラッグキャット:発明家<LINE>
Selected slugcat: Saint<LINE>|選択されたスラッグキャット:聖人<LINE>
Selected slugcat: Spear<LINE>|選択されたスラッグキャット:槍マスター<LINE>
Selected slugcat: Gourmand<LINE>|選択されたスラッグキャット:食いしん坊<LINE>
Selected slugcat: Inv<LINE>|選択されたスラッグキャット:Inv<LINE>
Selected slugcat: Watcher<LINE>|選択されたスラッグキャット:ウォッチャー<LINE>
Provided Slugcat: White<LINE><LINE>|提供されたスラッグキャット:生存者<LINE><LINE>
Provided Slugcat: Yellow<LINE><LINE>|提供されたスラッグキャット:僧侶<LINE><LINE>
