// UI

Bingo Mod Config|빙고모드 설정
Open Bingo HUD keybind:|빙고 HUD 키 바인딩:
Which button opens/closes the Bingo grid in game|빙고 HUD를 인게임에서 활성화/비활성화 시키는 버튼
-  Keyboard|- 키보드
-  Controller 1|- 컨트롤러 1
-  Controller 2|- 컨트롤러 2
-  Controller 3|- 컨트롤러 3
-  Controller 4|- 컨트롤러 4
Use map input instead:|맵을 볼 때 활성화:
Quick reset keybind:|빠른 초기화 키 바인딩:
Play custom music in bingo menu:|빙고 메뉴에서 커스텀 음악 재생:
Play custom music when game ends:|게임이 끝나면 커스텀 음악 재생:
Play custom music when your team is losing:|팀이 지고 있을 때 커스텀 음악 재생:
Singleplayer team color:|싱글플레이 팀 색상:

AVAILABLE: 1|사용 가능: 1
AVAILABLE: 0|사용 가능: 0
AVAILABLE: |사용 가능: 
CLOSE|취소
CANCEL|확인
MANUAL|설명서
Multiplayer|멀티 플레이
Refresh|리로드
Profiles|프로필
Config|설정
I'M<LINE>READY|준비<LINE>완료
BEGIN|시작
CREATE|만들기
STARTBINGO|빙고 시작
End Session|종료
Tally up|집계
JOIN|참가
UNLOAD|언로드
unloaded|언로드
Bingo - Scheming|빙고 - 계획
<LINE>Save the game to Complete|<LINE>저장하고 완료하세요
Cycle complete, saving run data|사이클 완료, 실행 데이터를 저장합니다
perkList|특전 목록
burdenList|부담 목록
unl-|특전-
bur-|목록-
PLAY<LINE>BINGO|새로운<LINE>빙고
NEWBINGO|새로운<LINE>빙고
CREDITS|크레딧
Copy board|보드 복사
Paste board|붙여넣기
QUITGAEM|그만두기
lobbysettings|로비 설정
createlobby|로비 만들기
FRIENDS|친구
Friends only: |친구만 가능: 
Friends only: Yes|친구만 가능: Yes
Friends only: No|친구만 가능: No
Require host's mods: |호스트의 모드 필요: 
Perks: |특전: 
Burdens: |부담: 
Max Players: |최대 인원 수: 
Game mode: |게임 모드: 
Slugcat: |슬러그캣: 
Host decides|호스트 정의
Allowed|허용
Disabled|불가능
HOSTMODS|호스트 모드
Allowed - |사용 가능 - 
Disabled - |사용 불가능 - 
Host decides - |호스트 선택 사용 - 
Bingo - |빙고 - 
Lockout (ties) - |록아웃 (구) - 
Lockout (no ties) - |록아웃 (중복) - 
Blackout - |블랙아웃 - 
Perks:|특전:
Burdens:| 부담:
Max Players: |최대 참가 인원: 
Game mode:|게임 모드:
Leave Lobby|로비로 가기
CONTINUE<LINE>BINGO|빙고<LINE>이어하기
CONTINUE<LINE>MULTIPLAYER|멀티플레이<LINE>이어하기
Shelter: |피난처: 
The shelter players start in. Please type in a valid shelter's room name (CASE SENSITIVE), or 'random'|시작 피난처를 설정합니다. 유효한 피난처의 방 이름(대소문자 구분) 또는 'random'을 입력하세요
Slugcat mismatch!<LINE><LINE>|슬러그캣 일치하지 않음!<LINE><LINE>
Selected slugcat: White<LINE>|선택된 슬러그캣: 생존자<LINE>
Selected slugcat: Yellow<LINE>|선택된 슬러그캣: 수도승<LINE>
Selected slugcat: Red<LINE>|선택된 슬러그캣: 사냥꾼<LINE>
Selected slugcat: Rivulet<LINE>|선택된 슬러그캣: 물살이<LINE>
Selected slugcat: Artificer<LINE>|선택된 슬러그캣: 기술병<LINE>
Selected slugcat: Saint<LINE>|선택된 슬러그캣: 성자<LINE>
Selected slugcat: Spear<LINE>|선택된 슬러그캣: 창술가<LINE>
Selected slugcat: Gourmand<LINE>|선택된 슬러그캣: 대식가<LINE>
